LULC_code,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,b_g,b_r,swir22_swir16,mci,ndci,nbi,ndmi,bsi,awei,tc_wetness,y,x
6.0,0.2214,0.0786,0.0682,0.09050000000000001,0.08292169,3.190249e-07,6.398259e-06,0.2768,0.17270000000000002,0.16440000000000002,0.09430000000000001,0.0601,0.1227,0.21830000000000002,0.254,-0.28991761475088274,-0.07037256061502073,-0.06313328137178485,0.476,0.40194667795175615,0.476,-0.4196857967297211,0.7535911602209944,0.8676844783715012,0.5736009732360097,1.80440097799511,0.21907600596125185,-0.1477449455676516,0.1477449455676516,-0.2523243243243244,-0.26067499999999993,-0.018291420000000023,-2041845.0,3167515.0
3.0,0.3698,0.059000000000000004,0.0507,0.07980000000000001,0.09362064,8.614063e-08,5.1683255e-06,0.4228,0.45680000000000004,0.20720000000000002,0.1125,0.0741,0.1405,0.33130000000000004,0.3985,-0.44390243902439025,-0.14985590778097987,0.18749999999999997,0.7248134328358209,0.6441889025343307,0.7248134328358209,-0.6450177935943061,0.6353383458646616,0.8593220338983051,0.542953667953668,2.6320284697508893,0.40852130325814545,-0.2818024263431542,0.2818024263431542,-0.4206081081081081,-0.5871750000000002,-0.06365128,-2041815.0,3167445.0
3.0,0.4368,0.0688,0.0609,0.1005,0.10903495,9.114146e-08,5.4404713e-06,0.4227,0.45630000000000004,0.20700000000000002,0.11270000000000001,0.0745,0.1408,0.3309,0.3987,-0.3463414634146342,-0.18724158298877736,0.10044313146233379,0.7278481012658227,0.7346088954302331,0.7278481012658227,-0.6259073143495255,0.6059701492537314,0.8851744186046512,0.5444444444444444,3.102272727272727,0.3435114503816794,-0.3569431500465983,0.3569431500465983,-0.46554770318021205,-0.625375,-0.058744669999999985,-2041815.0,3167455.0
3.0,0.4186,0.0901,0.0818,0.1274,0.09267601,8.1109995e-08,3.9811716e-06,0.5134000000000001,0.4555,0.2992,0.16290000000000002,0.07390000000000001,0.1888,0.42410000000000003,0.48460000000000003,-0.4027191748710736,-0.17149425287356326,-0.05073859987154779,0.6457637114212699,0.7107081816155161,0.6457637114212699,-0.5333333333333333,0.6420722135007848,0.9078801331853495,0.544451871657754,2.2171610169491527,0.3538902832556472,-0.16634159933129006,0.16634159933129006,-0.3283780196442793,-0.6356750000000001,-0.08034972000000001,-2041825.0,3167465.0
3.0,0.48960000000000004,0.07690000000000001,0.06570000000000001,0.1183,0.09533318,1.04939936e-07,4.100148e-06,0.5127,0.45520000000000005,0.29910000000000003,0.1628,0.0743,0.1893,0.42400000000000004,0.48360000000000003,-0.43315764254911354,-0.21209016393442617,0.061428571428571395,0.7285083848190644,0.7866278073032746,0.7285083848190644,-0.6107912485606185,0.5553677092138631,0.8543563068920677,0.5442995653627549,2.5863708399366088,0.4222389181066867,-0.2415367059718524,0.2415367059718524,-0.39698113207547164,-0.7809000000000001,-0.09440815,-2041825.0,3167475.0
3.0,0.501,0.06670000000000001,0.059800000000000006,0.1124,0.081824854,1.07789035e-07,3.413289e-06,0.5412,0.4535,0.3119,0.15910000000000002,0.0741,0.1827,0.4465,0.5135000000000001,-0.4701861890172048,-0.2551647124511445,0.10679611650485431,0.7650167341905937,0.8162731465546913,0.7650167341905937,-0.6335180958591458,0.5320284697508897,0.896551724137931,0.5100993908303944,2.742200328407225,0.4651162790697674,-0.23262393898388486,0.23262393898388486,-0.4258835494533435,-0.8387749999999998,-0.10841005000000004,-2041835.0,3167485.0
3.0,0.47350000000000003,0.0658,0.058,0.111,0.07322069,1.13254785e-07,3.3706322e-06,0.49660000000000004,0.3153,0.27640000000000003,0.1497,0.0876,0.1786,0.41290000000000004,0.4746,-0.42694889003613845,-0.25565610859728505,0.20329670329670324,0.7559799740404228,0.7799832554245447,0.7559799740404228,-0.6201881950384945,0.5225225225225225,0.8814589665653496,0.5416063675832127,2.6511758118701008,0.46153846153846156,-0.26283504467262303,0.26283504467262303,-0.4230254350736279,-0.7519249999999998,-0.08713836000000001,-2041845.0,3167495.0
3.0,0.47350000000000003,0.0658,0.058,0.111,0.07322069,1.13254785e-07,3.3706322e-06,0.49660000000000004,0.3153,0.27640000000000003,0.1497,0.0876,0.1786,0.41290000000000004,0.4746,-0.42694889003613845,-0.25565610859728505,0.20329670329670324,0.7559799740404228,0.7799832554245447,0.7559799740404228,-0.6201881950384945,0.5225225225225225,0.8814589665653496,0.5416063675832127,2.6511758118701008,0.46153846153846156,-0.26283504467262303,0.26283504467262303,-0.4230254350736279,-0.7519249999999998,-0.08713836000000001,-2041845.0,3167495.0
3.0,0.4277,0.0721,0.060700000000000004,0.10650000000000001,0.06609605,8.577704e-08,3.2346113e-06,0.49520000000000003,0.3254,0.281,0.152,0.08900000000000001,0.1806,0.41150000000000003,0.47650000000000003,-0.45032258064516123,-0.19260918253079515,0.18904475617902475,0.711484593837535,0.709690046617558,0.711484593837535,-0.6012729314863348,0.5699530516431924,0.8418862690707352,0.5409252669039145,2.368217054263566,0.4293628808864266,-0.20699873006914066,0.20699873006914066,-0.37094736842105275,-0.6980999999999999,-0.08440806000000005,-2041855.0,3167495.0
3.0,0.4758,0.09910000000000001,0.0758,0.132,0.06565957,7.132888e-08,3.1585334e-06,0.4783,0.323,0.2878,0.18050000000000002,0.0883,0.21910000000000002,0.405,0.45780000000000004,-0.3711291090995712,-0.14236261358719166,0.07617306520414378,0.6552443903287528,0.7260137159597843,0.6552443903287528,-0.5656465942744323,0.5742424242424242,0.7648839556004037,0.6271716469770675,2.1716111364673663,0.37712130735386545,-0.24620220010476687,0.24620220010476687,-0.327237728585178,-0.6944749999999998,-0.06775501999999996,-2041855.0,3167475.0
3.0,0.39380000000000004,0.18730000000000002,0.14930000000000002,0.202,0.07903253,9.2869996e-08,4.0467794e-06,0.3583,0.3236,0.25,0.18100000000000002,0.08940000000000001,0.22410000000000002,0.3209,0.34990000000000004,-0.1061946902654867,-0.037760082198818365,-0.2509426057813155,0.35536052314575806,0.5703043960367707,0.35536052314575806,-0.32192010741859683,0.7391089108910891,0.797116924719701,0.7240000000000001,1.7572512271307452,0.08945065629557607,-0.22336129232680962,0.22336129232680962,-0.19179284617072628,-0.26615,0.018468080000000046,-2041845.0,3167455.0
